id,saleprice
2658,163238.19235000844
2718,155338.48651335872
2414,203734.6746870528
1989,120832.5831024328
625,177833.4871870528
333,64977.22360000844
1327,103345.39547500844
858,144367.14547500844
95,173869.1746870528
1568,166949.62985000844
2482,164249.4871870528
1364,124459.05172500844
2584,158091.20797500844
818,266071.5177633587
2673,189350.23922500844
2089,106777.33093705279
1297,145824.52047500844
790,118503.19235000844
2616,208578.8934370528
720,213971.75033982442
222,128850.72360000844
557,124193.64547500844
1148,199263.0809370528
2766,170827.16110000844
534,194811.3465620528
1452,117138.91110000844
630,106966.59860000844
2648,116379.84872743282
125,141885.5653120528
1904,40303.346015783085
1670,107156.95797500844
756,83761.41110000844
717,218595.2081024328
1032,158030.37985000844
852,221816.8153120528
1731,179947.72088835872
2639,132159.1143524328
2071,66470.59860000844
1267,118809.75485000844
1851,203098.50485000844
567,145590.6590620528
2439,216714.78338835872
1898,152934.81735000844
647,192261.12985000844
2256,238394.25213835872
979,91016.40838835872
1444,222526.1278120528
2485,115229.14547500844
157,122859.22088835872
88,116333.47088835872
2003,110200.75485000844
186,216160.4737274328
1425,242074.6434370528
2695,121456.39547500844
738,101030.50213835872
395,147000.6278120528
1353,163255.6456024328
1878,160178.50485000844
390,161671.23922500844
1456,238138.7684370528
1103,345587.5958883587
1387,112989.17672500844
2070,147787.14547500844
1199,181330.97088835872
2479,176100.0653120528
501,313242.1896383587
2362,93668.90838835872
1718,208747.0965620528
2188,74143.40838835872
1483,159065.3309370528
2557,74741.58297500844
437,335737.9552633587
2224,198479.0653120528
1628,171176.0028120528
397,133134.94235000844
587,200600.4403120528
971,178312.64547500844
2611,141515.9559370528
1887,87928.45593705279
2399,375738.8458883587
2148,204928.3621870528
304,133445.44235000844
1997,123729.14547500844
2817,106776.94235000844
1431,173300.5496870528
427,331612.1434370528
263,113757.02047500844
598,176622.6903120528
2895,262915.2215620528
687,145388.00485000844
1822,125873.69235000844
2191,113667.91110000844
179,125127.3174774328
1009,208047.93963835872
2010,109501.64547500844
1991,145245.56735000844
1411,204723.39547500844
1721,219968.4559370528
1144,195851.2059370528
593,232044.54901335872
575,320363.3615133587
1249,181144.83026335872
1604,108146.17672500844
1064,474629.8146383587
1923,157851.06735000844
1988,112823.90838835872
2325,167639.56463835872
114,204949.6903120528
2700,181792.41110000844
217,137404.90838835872
343,185184.4403120528
386,228398.42401335872
2005,127227.73718705279
2908,157819.90838835872
1814,245332.9871870528
2446,495113.9865133587
208,126579.1143524328
1679,96746.69235000844
822,323592.8621870528
6,188805.90838835872
1781,414673.9552633587
2397,288213.3615133587
2340,302551.5646383587
1618,167916.22088835872
2843,149621.55172500844
1061,360039.6740133587
2786,113520.78406205279
1935,132492.61422500844
1341,106823.76843705279
521,260027.3778120528
2136,121036.87985000844
996,192016.62713835872
227,122973.19235000844
135,168731.50485000844
1167,157867.91110000844
294,241070.83297500844
1776,207788.61422500844
540,188771.41110000844
1717,206117.9871870528
2303,129371.08026335872
