id,saleprice
2658,155231.6519244077
2718,214976.79441121628
2414,187702.79938337463
1989,147204.4070548534
625,187725.41927532083
333,89464.08965710097
1327,117127.1243169799
858,151548.59666871186
95,215319.76000061014
1568,150209.25889972108
2482,182226.20467655547
1364,133372.1032571192
2584,166327.638473346
818,254842.29401474062
2673,170076.6350936219
2089,119037.32204682089
1297,145976.759692754
790,120083.49768636271
2616,196500.85207770974
720,212190.03769174742
222,128423.03341990686
557,115304.2467828769
1148,225419.0533732304
2766,135772.53793429642
534,215831.94772139238
1452,104538.73486299801
630,139832.55377783428
2648,140178.13496391242
125,144758.48128810187
1904,27109.33372367907
1670,105453.71045656176
756,106602.5132076426
717,288262.2463022055
1032,152257.56287174008
852,237316.73153260828
1731,165414.09950268944
2639,141718.72090436507
2071,43629.46652296116
1267,120147.6564992565
1851,217069.10551463463
567,168323.42561374523
2439,217711.79788230057
1898,161402.72496077872
647,174669.52386972227
2256,233559.36523720121
979,106681.56222367333
1444,228954.80776722904
2485,106314.72974962473
157,117778.15980123042
88,117960.26687810535
2003,110698.44175330119
186,216130.05182229937
1425,272317.67488911154
2695,131172.26253937779
738,117023.28091038647
395,145821.27736154175
1353,168404.97863242158
1878,152166.20375810214
390,156850.78968913958
1456,237541.21039278118
1103,326582.98710246093
1387,131062.21977939678
2070,153210.9573297219
1199,181640.7118457884
2479,184357.00412073534
501,329960.3163967427
2362,77870.87939518818
1718,221996.16378042405
2188,55956.66457534151
1483,167275.88179200666
2557,78110.81232853013
437,307604.5743332553
2224,208785.5547050367
1628,179950.82845298713
397,133567.50549621147
587,226410.9273947886
971,149780.87847144727
2611,155407.0912049755
1887,66172.90726980299
2399,345981.647732474
2148,227891.23801126482
304,129706.1986971813
1997,127834.64821915235
2817,118345.13122626743
1431,165714.95744361158
427,368494.38347671216
263,111122.96685450594
598,178998.0025354619
2895,275460.9811558308
687,168430.609259228
1822,121475.83545412635
2191,109533.05825223285
179,145900.48269249988
1009,206698.6264428642
2010,108592.63138980628
1991,148013.74902035797
1411,162758.9098221038
1721,255523.70273477037
1144,199345.46664668783
593,219480.2973018929
575,301310.13538850204
1249,195831.03911056858
1604,110996.38775443903
1064,441089.9177747561
1923,149091.34794162447
1988,91870.40853186697
2325,156299.6239492197
114,189560.81966105022
2700,215097.4122920388
217,140923.5872092729
343,186027.59042323485
386,243815.86594412837
2005,93636.49092688505
2908,139571.25537929614
1814,226028.20765089546
2446,457550.2299485457
208,150986.71897917846
1679,121496.49980601599
822,328813.47117619484
6,166687.07849678176
1781,392917.9555002715
2397,290519.514706005
2340,287920.78312303766
1618,154080.03171255603
2843,183436.00527129578
1061,333420.0646107275
2786,102512.1796284666
1935,122097.09308422438
1341,114196.89357296354
521,279517.26840636774
2136,118435.44132451189
996,173111.64365222328
227,133841.39712564566
135,159639.49065320904
1167,168250.3401480592
294,264076.20888903516
1776,220405.09245482355
540,204459.532561371
1717,221996.16378042405
2303,105898.70490940707
116,186553.98567937687
127,127072.33055510488
1371,141452.79149950715
1014,179544.96903721523
1507,75334.22634794994
702,164868.72166034929
750,163656.67606186203
261,149766.5003452222
1559,57526.824097048724
577,253555.7434042754
2812,214205.62436394196
2080,158825.1964880298
1368,127852.80940211099
2376,102706.12066653953
659,119951.69096506701
1235,124383.2040907673
332,77436.87719138351
1917,130173.98532976746
2094,253837.859777104
1460,295090.35330004746
1471,198383.1478230527
1509,119176.59244691813
1922,127564.02468915307
433,437601.9164886315
460,297210.7865601344
1116,254498.17182461068
1137,169934.33226683259
53,190425.11270898022
2354,252009.5470144305
1475,222909.47354767448
1761,473800.91717086744
842,138769.46709341276
2739,174155.3876302822
2509,172031.35487284465
1007,216362.80751878116
2610,176540.88980659167
1952,68249.01236911106
2719,212951.07279461017
2921,87905.31554205681
1966,137170.11687920894
292,130375.73394261557
1204,199567.20576233324
1829,246679.9334086125
2419,190630.1389593064
391,162575.7140051833
798,117317.8447149623
481,190222.12155016104
193,216199.6879713945
555,114756.24699201598
899,53687.225841831765
2357,175637.33999079827
328,114153.58363613638
1356,113113.44667487056
1154,103291.57338036597
1730,178156.18130557006
2249,132701.45129635127
1119,264846.89732032886
2856,118684.02908241143
1394,143266.36879680096
2587,123716.61181986192
61,326442.8366194536
2661,207945.92204543494
2711,121313.89052295673
1147,198728.86771171645
757,141459.05278530903
2623,68663.94342883141
2378,147571.70581673016
1413,163367.43975360855
1722,234059.57525404275
1112,221946.5495656199
1623,176900.14536802645
1201,203839.2794195665
1513,124091.4532072203
957,243713.75560858578
1171,267300.8296409134
1145,207722.25250704156
2726,241751.9318915516
703,149934.14639467606
760,77644.1519343413
1964,126830.28554436157
2512,197361.3344792045
159,161891.17742830317
1281,187822.25086882152
468,179669.07667032734
290,110335.2436553574
665,97754.71274491167
1463,277636.8946736356
1792,235279.0112590423
923,140494.12087207544
500,315524.9968487978
1408,168686.21188367205
331,61268.7970462566
170,168170.61002062156
2192,77797.98417286016
2571,321748.8229584516
2314,151602.95613077877
2647,87781.00329953758
422,388766.3885698101
2457,340968.1427179609
1838,217569.93649622065
2805,252165.48639926512
